Date,Open,High,Low,Close,Adj Close,Volume
2008-06-18,168.399994,169.000000,163.149994,164.750000,94.004021,176087
2008-06-19,163.800003,166.850006,159.000000,160.500000,91.579033,434759
2008-06-20,160.500000,163.449997,155.350006,159.350006,90.922844,653182
2008-06-23,159.350006,161.000000,151.899994,152.100006,86.786110,542901
2008-06-24,151.149994,152.949997,145.000000,148.899994,84.960205,448036
2008-06-25,149.000000,153.899994,148.750000,153.199997,87.413750,295795
2008-06-26,151.800003,153.050003,146.100006,146.100006,83.362602,354567
2008-06-27,145.350006,154.000000,144.300003,152.149994,86.814636,316431
2008-06-30,152.149994,152.500000,146.500000,150.850006,86.072876,503789
2008-07-01,151.000000,151.000000,140.199997,142.949997,82.833694,469625
2008-07-02,142.949997,145.399994,139.600006,139.750000,80.979408,465431
2008-07-03,137.000000,140.250000,134.000000,137.899994,79.907417,474264
2008-07-04,137.899994,139.949997,135.300003,137.750000,79.820503,221234
2008-07-07,137.750000,145.500000,137.750000,144.949997,83.992615,468381
2008-07-08,141.149994,142.050003,138.000000,139.800003,81.008408,220869
2008-07-09,140.500000,142.899994,139.550003,141.000000,81.703743,204333
2008-07-10,138.899994,140.149994,136.300003,138.949997,80.515846,262050
2008-07-11,138.949997,140.449997,133.399994,133.399994,77.299850,296524
2008-07-14,134.199997,137.000000,134.199997,135.449997,78.487732,201657
2008-07-15,134.100006,134.100006,126.000000,129.750000,75.184814,465021
2008-07-16,128.850006,132.750000,127.300003,130.949997,75.880180,289161
2008-07-17,132.199997,142.949997,132.199997,140.600006,81.471954,468878
2008-07-18,139.949997,142.149994,131.699997,141.649994,82.080399,384341
